"((1, 3), (1, 1))",[-286.77684475 -509.5        -291.48288781 -287.48269195]
"((0, 3), (1, 1))",[-289.66858443 -287.75435945 -292.00930946 -288.29792769]
"((1, 1), (2, 1))",[-301.23682108 -308.94926672 -301.71068256 -298.22088638]
"((0, 1), (2, 1))",[-301.86511986 -301.16144782 -305.25887346 -302.5860993 ]
"((2, 6), (4, 1))",[0. 0. 0. 0.]
"((3, 5), (4, 2))",[-287.8345298  -289.15555252 -296.2868284  -508.5       ]
"((4, 4), (4, 2))",[-293.53374928 -291.59133272 -506.5        -291.96269602]
"((1, 3), (3, 2))",[-300.86620543 -507.5        -298.60812155 -297.12766839]
"((0, 3), (3, 2))",[-301.86511986 -301.91195405 -300.27707007 -297.08416285]
"((1, 2), (2, 2))",[-284.80640523 -294.09609094 -279.84416664 -279.7108713 ]
"((0, 2), (2, 2))",[-284.1083481  -283.08154263 -279.16226516 -281.53879852]
"((2, 6), (4, 2))",[0. 0. 0. 0.]
"((5, 3), (2, 1))",[0. 0. 0. 0.]
"((1, 2), (1, 4))",[-232.18272882 -233.54167856 -239.12038315 -229.93993911]
"((0, 2), (1, 4))",[-222.65585071 -232.33222938 -227.67970876 -222.48530195]
"((2, 2), (1, 4))",[-235.82174304 -233.91540647 -235.01009497 -507.5       ]
"((1, 1), (1, 4))",[-234.62354147 -232.22830421 -235.7073911  -235.55473662]
"((0, 1), (1, 4))",[-229.99685804 -232.5915369  -227.8770499  -230.20619841]
"((2, 1), (1, 4))",[-235.48890426 -231.82614064 -232.39180905 -237.48839487]
"((1, 0), (1, 4))",[-232.22852118 -234.60411957 -229.99685804 -228.32943789]
"((0, 0), (1, 4))",[-227.84382715 -228.21520827 -227.84382715 -229.41255164]
"((2, 0), (1, 4))",[-230.36735842 -234.33559592 -227.84382715 -233.67304003]
"((1, 4), (1, 5))",[ -207.19308706  -229.88888448  -229.93966808 -1011.99999953]
"((0, 4), (1, 5))",[-207.19308241 -218.12115015 -220.12074073 -195.14453238]
"((2, 4), (1, 5))",[-218.1171009  -221.46492935 -761.25       -220.60634113]
"((1, 3), (1, 5))",[-219.38630886 -507.5        -221.75567126 -218.121138  ]
"((0, 3), (1, 5))",[-209.42371213 -210.27532802 -210.82159898 -207.19308557]
"((2, 3), (1, 5))",[0. 0. 0. 0.]
"((5, 3), (2, 2))",[0. 0. 0. 0.]
"((3, 3), (1, 1))",[0. 0. 0. 0.]
"((4, 5), (4, 2))",[-290.1945444  -288.6367244  -287.23226952 -285.3183596 ]
"((3, 6), (4, 2))",[0. 0. 0. 0.]
"((0, 6), (3, 1))",[0. 0. 0. 0.]
"((1, 3), (2, 1))",[-298.51064878 -762.75       -291.51702998 -293.65001233]
"((0, 3), (2, 1))",[-297.7202415  -297.58245524 -300.55129818 -291.7027629 ]
"((4, 5), (4, 1))",[-300.09135454 -305.40754584 -303.43946416 -299.14064458]
